"datum";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni";"pocet_vyleceni";"pocet_zemreli";"pocet_umrti_hospitalizace";"pocet_umrti_komplikovany"
"2020-10-06";"CZ0645";"6410";"M";"65+";"2";"";"1";"1";"1"
"2020-10-07";"CZ0427";"4214";"M";"65+";"4";"1";"1";"1";"1"
"2020-10-07";"CZ0645";"6418";"M";"65+";"1";"";"1";"1";"1"
"2020-10-08";"CZ0522";"5207";"M";"65+";"2";"";"1";"1";"1"
"2020-10-09";"CZ0100";"0";"Z";"20-64";"510";"93";"1";"1";"1"
"2020-10-09";"CZ020A";"2005";"M";"65+";"4";"";"1";"1";"0"
"2020-10-09";"CZ0411";"4102";"M";"65+";"2";"1";"1";"1";"1"
"2020-10-09";"CZ0422";"4203";"M";"65+";"3";"";"1";"1";"1"
"2020-10-09";"CZ0642";"6403";"M";"65+";"29";"5";"2";"2";"1"
"2020-10-09";"CZ0805";"8009";"M";"65+";"2";"1";"1";"1";"0"
"2020-10-09";"CZ0806";"8019";"M";"65+";"19";"1";"3";"2";"1"
"2020-10-10";"CZ020A";"2005";"Z";"65+";"";"1";"1";"1";"0"
"2020-10-10";"CZ0421";"4202";"M";"65+";"3";"";"1";"0";"0"
"2020-10-10";"CZ0422";"4203";"Z";"65+";"1";"2";"1";"1";"1"
"2020-10-10";"CZ0643";"6421";"Z";"65+";"";"1";"1";"1";"1"
"2020-10-11";"CZ0204";"2010";"Z";"65+";"2";"";"1";"1";"0"
"2020-10-11";"CZ0206";"2017";"Z";"65+";"";"";"1";"1";"0"
"2020-10-11";"CZ0642";"6403";"M";"65+";"7";"4";"1";"0";"1"
"2020-10-11";"CZ0644";"6404";"M";"65+";"";"4";"1";"1";"1"
"2020-10-11";"CZ0647";"6420";"Z";"65+";"";"2";"1";"1";"0"
"2020-10-11";"CZ0722";"7208";"Z";"65+";"7";"1";"1";"0";"0"
"2020-10-12";"CZ0100";"0";"M";"65+";"37";"";"3";"3";"1"
"2020-10-12";"CZ0207";"2015";"M";"65+";"1";"";"1";"1";"1"
"2020-10-12";"CZ0313";"3105";"Z";"65+";"1";"";"1";"1";"1"
"2020-10-12";"CZ0411";"4102";"Z";"65+";"6";"3";"1";"1";"1"
"2020-10-12";"CZ0512";"5108";"M";"65+";"";"";"1";"1";"1"
"2020-10-12";"CZ0521";"5212";"Z";"65+";"";"";"1";"1";"0"
"2020-10-12";"CZ0641";"6401";"M";"65+";"8";"";"1";"1";"1"
"2020-10-12";"CZ0802";"8021";"Z";"65+";"2";"";"1";"1";"1"
"2020-10-12";"CZ0806";"9999";"Z";"65+";"2";"";"1";"1";"0"
"2020-10-13";"CZ0201";"2001";"Z";"65+";"3";"";"1";"1";"0"
"2020-10-13";"CZ0316";"3111";"Z";"65+";"4";"";"1";"0";"0"
"2020-10-13";"CZ0713";"7108";"Z";"20-64";"29";"";"1";"1";"1"
"2020-10-14";"CZ0100";"0";"M";"65+";"47";"";"3";"3";"3"
"2020-10-14";"CZ0314";"3108";"M";"65+";"1";"";"1";"1";"1"
"2020-10-14";"CZ0521";"5212";"Z";"65+";"2";"";"1";"1";"1"
"2020-10-14";"CZ0635";"6301";"Z";"65+";"";"";"1";"1";"1"
"2020-03-25";"CZ0100";"0";"M";"65+";"12";"";"2";"2";"1"
"2020-03-25";"CZ0712";"7105";"M";"65+";"1";"";"1";"0";"0"
"2020-03-29";"CZ0209";"2022";"Z";"20-64";"";"";"1";"0";"0"
"2020-03-30";"CZ0100";"0";"Z";"65+";"4";"";"2";"2";"1"
"2020-03-31";"CZ0712";"7110";"M";"65+";"";"";"1";"1";"1"
"2020-04-01";"CZ0412";"4103";"M";"65+";"";"";"1";"1";"1"
"2020-04-01";"CZ0805";"8022";"Z";"65+";"1";"";"1";"1";"1"
"2020-04-02";"CZ0209";"2003";"Z";"65+";"";"";"1";"1";"1"
"2020-04-02";"CZ0525";"5214";"Z";"65+";"";"";"1";"1";"1"
"2020-04-05";"CZ0100";"0";"M";"65+";"6";"";"1";"1";"1"
"2020-04-06";"CZ0100";"0";"Z";"65+";"5";"2";"2";"2";"2"
"2020-04-07";"CZ0203";"2024";"Z";"65+";"";"";"1";"1";"1"
"2020-04-07";"CZ0423";"4205";"M";"20-64";"";"";"1";"1";"1"
"2020-04-07";"CZ0712";"7107";"M";"65+";"";"";"1";"0";"0"
"2020-04-08";"CZ0514";"5104";"Z";"65+";"";"";"1";"1";"0"
"2020-04-08";"CZ0722";"7208";"M";"65+";"2";"";"1";"1";"1"
"2020-04-10";"CZ0423";"4211";"M";"65+";"";"";"1";"1";"1"
"2020-04-11";"CZ0712";"7110";"M";"65+";"";"";"1";"1";"1"
"2020-04-12";"CZ0100";"0";"M";"65+";"2";"2";"1";"1";"1"
"2020-04-12";"CZ0203";"2009";"M";"65+";"";"";"1";"1";"0"
"2020-04-16";"CZ0806";"8019";"M";"65+";"1";"";"1";"1";"1"
"2020-04-19";"CZ020A";"2005";"Z";"65+";"";"";"1";"1";"1"
"2020-04-22";"CZ0411";"4101";"M";"65+";"";"1";"1";"1";"1"
"2020-04-23";"CZ0100";"0";"M";"65+";"";"2";"2";"1";"0"
"2020-04-24";"CZ0100";"0";"Z";"65+";"3";"4";"1";"1";"1"
"2020-04-28";"CZ0806";"8019";"Z";"65+";"1";"6";"1";"1";"1"
"2020-04-29";"CZ0423";"4208";"Z";"65+";"";"";"1";"1";"1"
"2020-05-01";"CZ0100";"0";"Z";"65+";"3";"3";"1";"1";"0"
"2020-05-01";"CZ0802";"8006";"M";"20-64";"1";"1";"1";"1";"1"
"2020-05-04";"CZ0424";"4216";"M";"65+";"";"1";"1";"1";"1"
"2020-05-04";"CZ0806";"8019";"M";"65+";"";"1";"1";"1";"1"
"2020-05-15";"CZ0411";"4102";"M";"65+";"";"";"1";"1";"1"
"2020-05-22";"CZ0806";"8019";"M";"65+";"";"";"2";"2";"2"
"2020-05-24";"CZ0806";"8019";"Z";"20-64";"1";"";"1";"1";"1"
"2020-06-01";"CZ0100";"0";"M";"65+";"";"2";"1";"0";"0"
"2020-06-09";"CZ0411";"4105";"M";"65+";"";"";"1";"1";"1"
"2020-07-12";"CZ0802";"8021";"Z";"65+";"";"";"1";"0";"0"
"2020-07-13";"CZ0803";"8011";"Z";"65+";"";"";"1";"1";"1"
"2020-07-24";"CZ0645";"6406";"Z";"65+";"1";"";"1";"0";"1"
"2020-07-27";"CZ0803";"8008";"M";"20-64";"";"8";"1";"0";"1"
"2020-07-29";"CZ0632";"6305";"M";"65+";"";"";"1";"0";"0"
"2020-08-02";"CZ0632";"6305";"M";"65+";"";"";"1";"0";"0"
"2020-08-19";"CZ0205";"2004";"Z";"65+";"";"";"1";"1";"1"
"2020-08-25";"CZ0324";"3207";"Z";"65+";"";"";"1";"1";"1"
"2020-08-26";"CZ0100";"0";"M";"65+";"3";"2";"1";"1";"1"
"2020-08-29";"CZ0631";"6304";"M";"65+";"";"";"1";"1";"1"
"2020-09-04";"CZ0100";"0";"Z";"20-64";"82";"30";"1";"1";"1"
"2020-09-06";"CZ0806";"8019";"M";"65+";"";"";"1";"1";"1"
"2020-09-07";"CZ0803";"8011";"M";"65+";"";"";"1";"1";"1"
"2020-09-09";"CZ0100";"0";"M";"65+";"12";"5";"1";"1";"1"
"2020-09-10";"CZ0724";"7205";"M";"65+";"";"";"1";"0";"0"
