"datum_vysledku";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni_primarni";"pocet_testu_u_pozitivnich";"pocet_opakovanych"
"2020-08-12";"CZ0643";"Ku¯im";"M";"20-64";"";"1";""
"2020-09-30";"CZ0641";"Boskovice";"Z";"0-19";"1";"2";"1"
"2020-09-06";"CZ0323";"PlzeÚ";"Z";"20-64";"";"2";""
"2020-07-28";"CZ0204";"»esk˝ Brod";"Z";"20-64";"1";"2";"1"
"2020-04-16";"CZ0204";"KolÌn";"M";"65+";"";"2";""
"2020-10-04";"CZ0209";"ÿÌËany";"Z";"20-64";"4";"7";"3"
"2020-03-20";"CZ0427";"⁄stÌ nad Labem";"M";"20-64";"1";"1";"0"
"2020-07-16";"CZ0533";"Litomyöl";"M";"20-64";"1";"3";"2"
"2020-05-06";"CZ0724";"Vizovice";"Z";"20-64";"";"6";""
"2020-04-09";"CZ020A";"»ernoöice";"M";"20-64";"2";"2";"0"
"2020-10-14";"CZ0208";"Lys· nad Labem";"M";"0-19";"4";"8";"4"
"2020-04-19";"CZ0631";"ChotÏbo¯";"M";"20-64";"";"4";""
"2020-08-25";"CZ0511";"»esk· LÌpa";"M";"20-64";"";"5";""
"2020-06-20";"CZ0100";"Praha";"M";"20-64";"3";"37";"34"
"2020-03-30";"CZ0644";"HustopeËe";"Z";"20-64";"";"2";""
"2020-07-29";"CZ0426";"Teplice";"Z";"20-64";"1";"5";"4"
"2020-09-24";"CZ0645";"Kyjov";"M";"20-64";"9";"20";"11"
"2020-08-20";"CZ0324";"P¯eötice";"M";"20-64";"1";"2";"1"
"2020-09-16";"CZ0312";"»esk˝ Krumlov";"M";"20-64";"4";"9";"5"
"2020-04-03";"CZ0209";"Brand˝s n.L.- St.Boleslav";"M";"0-19";"";"1";""
"2020-06-17";"CZ0802";"T¯inec";"M";"20-64";"1";"9";"8"
"2020-08-18";"CZ0207";"Mlad· Boleslav";"Z";"20-64";"2";"3";"1"
"2020-04-15";"CZ0635";"éÔ·r nad S·zavou";"Z";"20-64";"";"5";""
"2020-05-23";"CZ0324";"Stod";"Z";"65+";"";"2";""
"2020-09-25";"CZ0711";"JesenÌk";"M";"0-19";"2";"2";"0"
"2020-05-03";"CZ0322";"HoraûÔovice";"M";"65+";"";"2";""
"2020-05-01";"CZ0321";"Horöovsk˝ T˝n";"M";"20-64";"";"3";""
"2020-10-07";"CZ0804";"Kop¯ivnice";"Z";"0-19";"2";"2";"0"
"2020-09-06";"CZ0632";"TelË";"M";"20-64";"1";"2";"1"
"2020-05-30";"CZ0323";"PlzeÚ";"Z";"20-64";"";"1";""
"2020-03-30";"CZ0411";"Cheb";"M";"20-64";"1";"3";"2"
"2020-08-19";"CZ0802";"T¯inec";"M";"20-64";"1";"5";"4"
"2020-08-28";"CZ0324";"P¯eötice";"Z";"20-64";"2";"2";"0"
"2020-03-28";"CZ0325";"N˝¯any";"M";"20-64";"";"2";""
"2020-07-26";"CZ0643";"éidlochovice";"M";"20-64";"1";"1";"0"
"2020-04-21";"CZ0724";"Otrokovice";"M";"20-64";"";"8";""
"2020-03-25";"CZ0201";"Beneöov";"M";"20-64";"";"1";""
"2020-08-20";"CZ020A";"»ernoöice";"M";"0-19";"1";"3";"2"
"2020-10-09";"CZ0514";"N/A";"M";"20-64";"1";"1";"0"
"2020-04-20";"CZ0204";"»esk˝ Brod";"Z";"20-64";"";"1";""
"2020-07-30";"CZ0803";"BohumÌn";"Z";"65+";"";"2";""
"2020-08-01";"CZ0204";"KolÌn";"Z";"20-64";"1";"3";"2"
"2020-10-05";"CZ0316";"Strakonice";"M";"65+";"2";"2";"0"
"2020-08-21";"CZ0422";"KadaÚ";"M";"20-64";"2";"2";"0"
"2020-10-02";"CZ0643";"Tiönov";"M";"65+";"1";"4";"3"
"2020-10-12";"CZ0531";"Chrudim";"M";"65+";"1";"3";"2"
"2020-10-14";"CZ0645";"HodonÌn";"Z";"65+";"2";"4";"2"
"2020-04-02";"CZ0521";"N/A";"M";"65+";"";"1";""
"2020-05-23";"CZ0724";"Vizovice";"Z";"20-64";"";"1";""
"2020-08-20";"CZ0712";"Olomouc";"Z";"20-64";"1";"5";"4"
"2020-08-22";"CZ0642";"Brno";"M";"0-19";"2";"7";"5"
"2020-03-27";"CZ0642";"Brno";"M";"20-64";"5";"18";"13"
"2020-09-15";"CZ0311";"»eskÈ BudÏjovice";"Z";"65+";"";"2";""
"2020-10-09";"CZ0643";"IvanËice";"Z";"65+";"3";"2";"-1"
"2020-09-07";"CZ0803";"Orlov·";"M";"20-64";"";"1";""
"2020-10-05";"CZ0533";"Moravsk· T¯ebov·";"Z";"0-19";"1";"2";"1"
"2020-09-22";"CZ0523";"JaromÏ¯";"Z";"20-64";"3";"6";"3"
"2020-05-22";"CZ0412";"Karlovy Vary";"M";"20-64";"";"1";""
"2020-09-22";"CZ0712";"äternberk";"M";"20-64";"2";"6";"4"
"2020-09-08";"CZ0634";"MoravskÈ BudÏjovice";"Z";"20-64";"";"2";""
"2020-10-11";"CZ0805";"HluËÌn";"Z";"20-64";"6";"16";"10"
"2020-06-18";"CZ0521";"Hradec Kr·lovÈ";"Z";"20-64";"";"3";""
"2020-07-29";"CZ0209";"ÿÌËany";"Z";"0-19";"";"1";""
"2020-10-10";"CZ0323";"PlzeÚ";"Z";"0-19";"11";"22";"11"
"2020-06-06";"CZ0327";"Tachov";"Z";"65+";"";"1";""
"2020-09-30";"CZ0531";"Chrudim";"M";"0-19";"1";"2";"1"
"2020-09-11";"CZ0804";"Odry";"M";"0-19";"";"1";""
"2020-10-04";"CZ0327";"Tachov";"M";"65+";"1";"2";"1"
"2020-08-27";"CZ0635";"NovÈ MÏsto na MoravÏ";"Z";"20-64";"";"1";""
"2020-10-12";"CZ0801";"Krnov";"M";"65+";"1";"2";"1"
"2020-07-07";"CZ0511";"Nov˝ Bor";"M";"20-64";"";"2";""
"2020-07-08";"CZ020C";"RakovnÌk";"Z";"20-64";"";"5";""
"2020-08-21";"CZ0325";"N˝¯any";"Z";"0-19";"";"2";""
"2020-03-24";"CZ0806";"Ostrava";"Z";"65+";"";"3";""
"2020-05-02";"CZ0721";"KromÏ¯Ìû";"Z";"20-64";"";"1";""
"2020-03-21";"CZ0322";"Suöice";"Z";"20-64";"";"1";""
"2020-10-10";"CZ0100";"Praha";"Z";"20-64";"228";"425";"197"
"2020-03-12";"CZ0423";"LitomÏ¯ice";"Z";"20-64";"";"4";""
"2020-10-09";"CZ0724";"Vizovice";"M";"20-64";"3";"4";"1"
"2020-09-25";"CZ0722";"UherskÈ HradiötÏ";"M";"20-64";"7";"10";"3"
"2020-10-09";"CZ0422";"KadaÚ";"Z";"20-64";"3";"6";"3"
"2020-10-14";"CZ0208";"Lys· nad Labem";"M";"65+";"1";"2";"1"
"2020-08-31";"CZ0323";"N/A";"M";"20-64";"";"1";""
"2020-09-01";"CZ0100";"Praha";"M";"65+";"4";"10";"6"
"2020-10-14";"CZ0801";"Brunt·l";"M";"20-64";"2";"3";"1"
"2020-09-29";"CZ0722";"Uhersk˝ Brod";"M";"65+";"1";"2";"1"
"2020-10-14";"CZ0424";"éatec";"Z";"20-64";"2";"4";"2"
"2020-08-27";"CZ0533";"PoliËka";"M";"0-19";"1";"2";"1"
"2020-10-05";"CZ0100";"Praha";"Z";"20-64";"184";"428";"244"
"2020-09-29";"CZ0647";"Znojmo";"Z";"20-64";"7";"15";"8"
"2020-04-15";"CZ0514";"Turnov";"Z";"20-64";"";"2";""
"2020-04-26";"CZ0712";"Litovel";"M";"65+";"";"4";""
"2020-10-13";"CZ0524";"Rychnov nad KnÏûnou";"M";"0-19";"3";"6";"3"
"2020-04-15";"CZ0712";"Olomouc";"Z";"65+";"1";"4";"3"
"2020-04-16";"CZ0523";"N·chod";"Z";"0-19";"";"3";""
"2020-08-28";"CZ0722";"UherskÈ HradiötÏ";"M";"65+";"1";"2";"1"
"2020-06-03";"CZ0322";"HoraûÔovice";"M";"20-64";"";"1";""
"2020-09-08";"CZ0642";"Brno";"Z";"20-64";"14";"35";"21"
"2020-08-22";"CZ0722";"Uhersk˝ Brod";"Z";"20-64";"1";"2";"1"
"2020-04-16";"";"";"";"";"";"23";""
"2020-09-07";"CZ0635";"éÔ·r nad S·zavou";"Z";"0-19";"1";"2";"1"
"2020-09-09";"CZ0203";"Kladno";"Z";"0-19";"3";"25";"22"
"2020-09-22";"CZ0413";"Sokolov";"Z";"0-19";"1";"2";"1"
"2020-10-06";"CZ0533";"Moravsk· T¯ebov·";"M";"20-64";"";"2";""
"2020-04-13";"CZ0722";"UherskÈ HradiötÏ";"Z";"20-64";"";"2";""
"2020-07-23";"CZ0205";"»·slav";"Z";"20-64";"";"2";""
"2020-09-04";"CZ0316";"Strakonice";"M";"0-19";"1";"7";"6"
"2020-05-15";"CZ0712";"Olomouc";"M";"20-64";"";"5";""
"2020-04-07";"CZ0714";"Hranice";"Z";"20-64";"1";"2";"1"
"2020-05-11";"CZ0724";"ZlÌn";"M";"20-64";"1";"2";"1"
"2020-09-30";"CZ0205";"Kutn· Hora";"M";"65+";"1";"2";"1"
"2020-06-10";"CZ0803";"Orlov·";"M";"0-19";"";"1";""
"2020-08-03";"CZ0805";"HluËÌn";"M";"20-64";"";"2";""
"2020-07-11";"CZ0100";"Praha";"Z";"65+";"";"2";""
"2020-04-08";"CZ0524";"Dobruöka";"Z";"20-64";"1";"2";"1"
"2020-06-10";"CZ099Y";"N/A";"Z";"20-64";"2";"1";"-1"
"2020-08-24";"CZ0722";"UherskÈ HradiötÏ";"Z";"0-19";"";"2";""
"2020-03-17";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"4";""
"2020-06-09";"CZ0712";"Litovel";"Z";"65+";"";"11";""
"2020-10-08";"CZ0208";"Nymburk";"M";"0-19";"1";"4";"3"
"2020-10-05";"CZ0327";"Tachov";"Z";"65+";"2";"4";"2"
"2020-10-10";"CZ0534";"Lanökroun";"M";"20-64";"4";"8";"4"
"2020-09-10";"CZ0513";"Fr˝dlant";"Z";"0-19";"1";"2";"1"
"2020-04-22";"CZ0712";"UniËov";"M";"65+";"";"2";""
"2020-08-27";"CZ0207";"Mlad· Boleslav";"M";"0-19";"";"1";""
"2020-04-17";"CZ0411";"Mari·nskÈ L·znÏ";"M";"0-19";"";"1";""
"2020-04-11";"CZ0423";"LitomÏ¯ice";"Z";"0-19";"3";"3";"0"
"2020-07-14";"CZ099Y";"N/A";"Z";"20-64";"";"1";""
"2020-10-13";"CZ0631";"HavlÌËk˘v Brod";"Z";"20-64";"14";"31";"17"
"2020-05-08";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"";"1";""
"2020-04-19";"CZ0804";"Kop¯ivnice";"Z";"0-19";"";"2";""
"2020-09-24";"CZ0423";"LitomÏ¯ice";"Z";"0-19";"4";"8";"4"
"2020-08-27";"CZ0646";"BuËovice";"Z";"20-64";"";"1";""
"2020-10-02";"CZ0645";"Kyjov";"Z";"0-19";"2";"4";"2"
"2020-04-03";"CZ0523";"Broumov";"M";"20-64";"";"1";""
"2020-10-08";"CZ0645";"VeselÌ nad Moravou";"M";"20-64";"15";"31";"16"
"2020-03-26";"CZ0100";"Praha";"M";"0-19";"4";"20";"16"
"2020-06-24";"CZ0315";"Prachatice";"M";"20-64";"";"4";""
"2020-08-31";"CZ0202";"Beroun";"M";"20-64";"";"2";""
"2020-10-02";"CZ0645";"Kyjov";"Z";"65+";"3";"6";"3"
"2020-05-25";"CZ0531";"Chrudim";"M";"20-64";"";"2";""
"2020-10-07";"CZ0514";"Turnov";"M";"0-19";"1";"2";"1"
"2020-09-15";"CZ0641";"Boskovice";"M";"65+";"2";"4";"2"
"2020-04-20";"CZ0712";"äternberk";"Z";"20-64";"";"6";""
"2020-07-20";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"1";""
"2020-05-15";"CZ0805";"Opava";"Z";"20-64";"2";"7";"5"
"2020-10-13";"CZ0512";"éelezn˝ Brod";"Z";"65+";"1";"2";"1"
"2020-10-06";"CZ0411";"Mari·nskÈ L·znÏ";"Z";"20-64";"3";"7";"4"
"2020-09-10";"CZ0317";"SobÏslav";"M";"65+";"";"1";""
"2020-10-02";"CZ0642";"Brno";"M";"20-64";"57";"92";"35"
"2020-09-10";"CZ0427";"⁄stÌ nad Labem";"M";"65+";"1";"2";"1"
"2020-09-05";"CZ0209";"ÿÌËany";"Z";"20-64";"3";"9";"6"
"2020-09-24";"CZ0207";"Mlad· Boleslav";"M";"20-64";"7";"13";"6"
"2020-09-24";"CZ0316";"Strakonice";"Z";"20-64";"3";"11";"8"
"2020-09-17";"CZ0721";"Holeöov";"M";"0-19";"1";"2";"1"
"2020-10-03";"CZ0314";"Milevsko";"M";"20-64";"3";"3";"0"
"2020-05-16";"CZ0209";"N/A";"M";"20-64";"1";"1";"0"
"2020-08-27";"CZ0646";"Vyökov";"Z";"20-64";"1";"2";"1"
"2020-08-27";"CZ0202";"Ho¯ovice";"Z";"65+";"";"1";""
"2020-08-11";"CZ020A";"»ernoöice";"Z";"20-64";"";"2";""
"2020-10-14";"CZ0425";"N/A";"M";"20-64";"10";"10";"0"
"2020-05-29";"CZ0804";"BÌlovec";"Z";"20-64";"";"2";""
"2020-09-30";"CZ0426";"BÌlina";"Z";"20-64";"";"1";""
"2020-09-02";"CZ0802";"Jablunkov";"M";"20-64";"1";"2";"1"
"2020-10-05";"CZ0531";"Chrudim";"M";"65+";"3";"7";"4"
"2020-07-11";"CZ0803";"Orlov·";"M";"20-64";"1";"10";"9"
"2020-09-08";"CZ0426";"Teplice";"Z";"20-64";"1";"5";"4"
"2020-09-07";"CZ0633";"Humpolec";"Z";"20-64";"1";"3";"2"
"2020-09-13";"CZ0714";"P¯erov";"Z";"20-64";"5";"10";"5"
"2020-09-25";"CZ0322";"Suöice";"M";"65+";"2";"4";"2"
"2020-05-31";"CZ0206";"MÏlnÌk";"Z";"20-64";"";"2";""
"2020-10-08";"CZ0721";"KromÏ¯Ìû";"Z";"20-64";"7";"20";"13"
"2020-10-04";"CZ0512";"Tanvald";"M";"0-19";"1";"2";"1"
"2020-04-21";"CZ0412";"Karlovy Vary";"Z";"20-64";"1";"2";"1"
"2020-07-28";"CZ0802";"Fr˝dek-MÌstek";"Z";"20-64";"2";"11";"9"
