"datum_vysledku";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni_primarni";"pocet_testu_u_pozitivnich";"pocet_opakovanych"
"2020-03-03";"CZ0100";"Praha";"Z";"20-64";"1";"1";"0"
"2020-03-03";"CZ0724";"ZlÌn";"Z";"65+";"";"1";""
"2020-03-07";"CZ0723";"Roûnov pod RadhoötÏm";"Z";"20-64";"1";"";""
"2020-03-09";"CZ0427";"⁄stÌ nad Labem";"M";"20-64";"";"2";""
"2020-03-09";"CZ0524";"Kostelec nad OrlicÌ";"M";"20-64";"";"2";""
"2020-03-09";"CZ0532";"Pardubice";"M";"65+";"";"1";""
"2020-03-10";"CZ0100";"Praha";"M";"0-19";"";"2";""
"2020-03-10";"CZ0208";"Nymburk";"Z";"20-64";"";"4";""
"2020-03-10";"CZ0412";"Karlovy Vary";"M";"65+";"1";"";""
"2020-03-10";"CZ0421";"DÏËÌn";"Z";"20-64";"1";"";""
"2020-03-10";"CZ0642";"Brno";"Z";"20-64";"";"2";""
"2020-03-10";"CZ0714";"Hranice";"M";"20-64";"1";"";""
"2020-03-11";"CZ0315";"Prachatice";"M";"20-64";"1";"3";"2"
"2020-03-11";"CZ0512";"Jablonec nad Nisou";"Z";"20-64";"1";"2";"1"
"2020-03-11";"CZ0722";"Uhersk˝ Brod";"M";"0-19";"";"2";""
"2020-03-12";"CZ0100";"Praha";"M";"65+";"";"4";""
"2020-03-12";"CZ0100";"Praha";"Z";"20-64";"3";"10";"7"
"2020-03-13";"CZ0311";"»eskÈ BudÏjovice";"Z";"20-64";"";"1";""
"2020-03-13";"CZ0412";"Karlovy Vary";"Z";"65+";"";"3";""
"2020-03-13";"CZ0722";"Uhersk˝ Brod";"M";"20-64";"";"1";""
"2020-03-14";"CZ0315";"Prachatice";"Z";"20-64";"";"4";""
"2020-03-14";"CZ0722";"UherskÈ HradiötÏ";"M";"20-64";"";"3";""
"2020-03-15";"CZ0100";"Praha";"Z";"65+";"3";"6";"3"
"2020-03-15";"CZ0323";"PlzeÚ";"M";"20-64";"1";"3";"2"
"2020-03-15";"CZ0722";"UherskÈ HradiötÏ";"M";"0-19";"1";"";""
"2020-03-15";"CZ0802";"Fr˝dek-MÌstek";"M";"65+";"1";"2";"1"
"2020-03-15";"CZ0802";"Fr˝dek-MÌstek";"Z";"20-64";"1";"4";"3"
"2020-03-16";"CZ0209";"Brand˝s n.L.- St.Boleslav";"M";"20-64";"1";"2";"1"
"2020-03-16";"CZ0631";"SvÏtl· nad S·zavou";"M";"65+";"1";"2";"1"
"2020-03-16";"CZ0804";"Odry";"M";"20-64";"1";"3";"2"
"2020-03-16";"CZ099Y";"N/A";"Z";"20-64";"1";"2";"1"
"2020-03-17";"CZ020A";"»ernoöice";"Z";"65+";"";"1";""
"2020-03-17";"CZ0534";"⁄stÌ nad OrlicÌ";"M";"20-64";"1";"";""
"2020-03-17";"CZ0534";"VysokÈ M˝to";"M";"20-64";"";"1";""
"2020-03-17";"CZ0722";"Uhersk˝ Brod";"M";"20-64";"";"1";""
"2020-03-18";"CZ0323";"PlzeÚ";"Z";"20-64";"1";"1";"0"
"2020-03-18";"CZ0532";"Pardubice";"Z";"20-64";"";"1";""
"2020-03-18";"CZ0723";"VsetÌn";"Z";"20-64";"1";"4";"3"
"2020-03-18";"CZ0802";"Fr˝dek-MÌstek";"Z";"65+";"3";"7";"4"
"2020-03-19";"CZ0100";"Praha";"M";"0-19";"5";"10";"5"
"2020-03-19";"CZ0204";"»esk˝ Brod";"M";"65+";"1";"";""
"2020-03-19";"CZ0208";"Lys· nad Labem";"Z";"20-64";"";"1";""
"2020-03-19";"CZ0208";"Nymburk";"Z";"20-64";"1";"3";"2"
"2020-03-19";"CZ0315";"Prachatice";"Z";"20-64";"";"1";""
"2020-03-19";"CZ0421";"DÏËÌn";"Z";"20-64";"";"1";""
"2020-03-19";"CZ0425";"LitvÌnov";"M";"20-64";"1";"2";"1"
"2020-03-19";"CZ0647";"Znojmo";"M";"20-64";"";"1";""
"2020-03-19";"CZ0804";"Odry";"Z";"20-64";"";"1";""
"2020-03-20";"CZ0209";"ÿÌËany";"M";"20-64";"1";"3";"2"
"2020-03-20";"CZ0315";"Vimperk";"Z";"20-64";"1";"2";"1"
"2020-03-20";"CZ0412";"Karlovy Vary";"M";"20-64";"1";"2";"1"
"2020-03-20";"CZ0632";"TelË";"M";"20-64";"2";"2";"0"
"2020-03-20";"CZ0644";"HustopeËe";"M";"20-64";"";"2";""
"2020-03-20";"CZ0806";"Ostrava";"Z";"20-64";"5";"15";"10"
"2020-03-21";"CZ0204";"KolÌn";"M";"20-64";"";"2";""
"2020-03-21";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"";"3";""
"2020-03-21";"CZ0713";"ProstÏjov";"Z";"20-64";"2";"12";"10"
"2020-03-21";"CZ0724";"Vizovice";"Z";"20-64";"1";"";""
"2020-03-21";"CZ0805";"Opava";"M";"20-64";"1";"3";"2"
"2020-03-22";"CZ0100";"Praha";"Z";"0-19";"";"3";""
"2020-03-22";"CZ020C";"RakovnÌk";"M";"20-64";"1";"2";"1"
"2020-03-22";"CZ0642";"Brno";"Z";"65+";"";"2";""
"2020-03-22";"CZ0712";"UniËov";"Z";"0-19";"1";"3";"2"
"2020-03-22";"CZ0722";"Uhersk˝ Brod";"M";"20-64";"";"4";""
"2020-03-23";"CZ020A";"»ernoöice";"Z";"20-64";"3";"7";"4"
"2020-03-23";"CZ0321";"Domaûlice";"Z";"0-19";"";"1";""
"2020-03-23";"CZ0412";"Karlovy Vary";"Z";"20-64";"";"3";""
"2020-03-23";"CZ0642";"Brno";"M";"20-64";"";"3";""
"2020-03-23";"CZ0644";"HustopeËe";"Z";"20-64";"";"1";""
"2020-03-23";"CZ0723";"ValaöskÈ Mezi¯ÌËÌ";"Z";"0-19";"";"1";""
"2020-03-23";"CZ0802";"Jablunkov";"M";"20-64";"";"1";""
"2020-03-23";"CZ0803";"Karvin·";"M";"20-64";"";"1";""
"2020-03-24";"CZ0100";"Praha";"Z";"65+";"3";"19";"16"
"2020-03-24";"CZ0203";"Slan˝";"Z";"20-64";"";"2";""
"2020-03-24";"CZ0205";"Kutn· Hora";"M";"0-19";"";"1";""
"2020-03-24";"CZ0317";"T·bor";"Z";"20-64";"";"1";""
"2020-03-24";"CZ0323";"PlzeÚ";"Z";"0-19";"1";"";""
"2020-03-24";"CZ0327";"Tachov";"M";"20-64";"1";"2";"1"
"2020-03-24";"CZ0411";"Mari·nskÈ L·znÏ";"M";"20-64";"1";"2";"1"
"2020-03-24";"CZ0423";"Roudnice nad Labem";"Z";"20-64";"";"1";""
"2020-03-24";"CZ0512";"Turnov";"M";"20-64";"";"1";""
"2020-03-24";"CZ0514";"Jilemnice";"M";"20-64";"1";"2";"1"
"2020-01-31";"CZ0100";"Praha";"M";"20-64";"";"2";""
"2020-03-03";"CZ0411";"Cheb";"Z";"20-64";"";"1";""
"2020-03-03";"CZ0421";"DÏËÌn";"Z";"20-64";"1";"";""
"2020-03-03";"CZ0642";"Brno";"M";"20-64";"";"1";""
"2020-03-04";"CZ0206";"MÏlnÌk";"Z";"0-19";"";"1";""
"2020-03-07";"CZ0423";"LitomÏ¯ice";"Z";"20-64";"";"2";""
"2020-03-10";"CZ0100";"Praha";"Z";"65+";"1";"3";"2"
"2020-03-10";"CZ0209";"ÿÌËany";"Z";"20-64";"";"1";""
"2020-03-10";"CZ0524";"Kostelec nad OrlicÌ";"M";"20-64";"";"1";""
"2020-03-11";"CZ0208";"Nymburk";"M";"0-19";"1";"";""
"2020-03-11";"CZ0423";"LitomÏ¯ice";"M";"0-19";"";"2";""
"2020-03-11";"CZ0427";"⁄stÌ nad Labem";"M";"0-19";"";"1";""
"2020-03-12";"CZ0100";"Praha";"Z";"65+";"1";"3";"2"
"2020-03-12";"CZ0208";"Nymburk";"M";"20-64";"";"5";""
"2020-03-12";"CZ0209";"ÿÌËany";"Z";"20-64";"";"2";""
"2020-03-12";"CZ0427";"⁄stÌ nad Labem";"M";"20-64";"";"4";""
"2020-03-12";"CZ0523";"N·chod";"Z";"20-64";"2";"6";"4"
"2020-03-12";"CZ0524";"Kostelec nad OrlicÌ";"M";"20-64";"";"2";""
"2020-03-12";"CZ0635";"éÔ·r nad S·zavou";"M";"20-64";"";"1";""
"2020-03-12";"CZ0722";"UherskÈ HradiötÏ";"Z";"20-64";"";"4";""
"2020-03-12";"CZ0804";"BÌlovec";"M";"20-64";"";"3";""
"2020-03-13";"CZ0314";"PÌsek";"M";"20-64";"";"3";""
"2020-03-13";"CZ0643";"Tiönov";"M";"20-64";"";"4";""
"2020-03-13";"CZ0712";"UniËov";"M";"65+";"";"3";""
"2020-03-15";"CZ0100";"Praha";"M";"65+";"4";"8";"4"
"2020-03-15";"CZ0100";"Praha";"Z";"20-64";"12";"28";"16"
"2020-03-15";"CZ0206";"Kralupy nad Vltavou";"M";"65+";"1";"";""
"2020-03-15";"CZ0321";"Domaûlice";"M";"20-64";"1";"2";"1"
"2020-03-15";"CZ0323";"PlzeÚ";"Z";"20-64";"3";"5";"2"
"2020-03-15";"CZ0411";"Mari·nskÈ L·znÏ";"Z";"0-19";"1";"";""
"2020-03-16";"CZ020A";"»ernoöice";"M";"20-64";"3";"8";"5"
"2020-03-16";"CZ0311";"»eskÈ BudÏjovice";"Z";"20-64";"";"1";""
"2020-03-16";"CZ0522";"Nov· Paka";"M";"20-64";"1";"";""
"2020-03-16";"CZ0534";"Lanökroun";"M";"65+";"1";"2";"1"
"2020-03-16";"CZ0534";"⁄stÌ nad OrlicÌ";"M";"20-64";"1";"4";"3"
"2020-03-17";"CZ0100";"Praha";"M";"65+";"1";"5";"4"
"2020-03-17";"CZ0207";"Mlad· Boleslav";"M";"20-64";"1";"2";"1"
"2020-03-17";"CZ0209";"ÿÌËany";"M";"20-64";"2";"3";"1"
"2020-03-17";"CZ0715";"äumperk";"Z";"20-64";"";"1";""
"2020-03-18";"CZ020A";"»ernoöice";"Z";"65+";"1";"2";"1"
"2020-03-18";"CZ0311";"»eskÈ BudÏjovice";"Z";"20-64";"";"1";""
"2020-03-18";"CZ0411";"Mari·nskÈ L·znÏ";"Z";"20-64";"";"4";""
"2020-03-18";"CZ0642";"Brno";"M";"20-64";"";"6";""
"2020-03-18";"CZ0712";"UniËov";"Z";"20-64";"";"2";""
"2020-03-18";"CZ0805";"Opava";"M";"65+";"1";"3";"2"
"2020-03-18";"CZ0806";"Ostrava";"M";"65+";"";"2";""
"2020-03-19";"CZ0100";"Praha";"Z";"0-19";"";"6";""
"2020-03-19";"CZ0315";"Vimperk";"Z";"20-64";"";"2";""
"2020-03-19";"CZ0316";"Strakonice";"M";"20-64";"1";"";""
"2020-03-19";"CZ0511";"»esk· LÌpa";"M";"20-64";"1";"2";"1"
"2020-03-19";"CZ0532";"Pardubice";"Z";"20-64";"2";"4";"2"
"2020-03-19";"CZ0644";"B¯eclav";"M";"65+";"";"2";""
"2020-03-19";"CZ0712";"Litovel";"Z";"20-64";"4";"5";"1"
"2020-03-19";"CZ0712";"Olomouc";"M";"20-64";"";"1";""
