datum;okres;orp;pohlavi;vek_kat;pocet_pozitivni;pocet_vyleceni;pocet_zemreli;pocet_umrti_hospitalizace;pocet_umrti_komplikovany
2020-10-22;CZ0411;4102;M;65+;1;2;1;1;0
2020-10-22;CZ0634;6313;Z;65+;1;6;1;1;1
2020-10-22;CZ0723;7210;M;65+;8;2;1;1;0
2020-10-22;CZ0805;8009;M;65+;7;;1;1;0
2020-10-22;CZ0806;8019;M;65+;19;3;2;2;1
2020-10-23;CZ020A;2005;Z;20-64;65;47;1;1;0
2020-10-23;CZ0313;3105;M;65+;4;1;1;1;1
2020-10-23;CZ0413;4107;Z;65+;4;6;1;1;0
2020-10-23;CZ0511;5101;M;65+;12;1;1;1;0
2020-10-23;CZ0645;6410;Z;65+;13;4;2;1;1
2020-10-23;CZ0711;7102;M;65+;6;1;1;1;0
2020-10-23;CZ0723;7212;Z;65+;15;4;1;1;1
2020-10-24;CZ0325;3208;M;65+;3;3;2;2;0
2020-10-24;CZ0531;5304;M;65+;3;1;2;2;1
2020-10-24;CZ0634;6307;M;65+;3;;1;1;1
2020-10-24;CZ0642;6403;M;65+;22;15;4;4;4
2020-10-24;CZ0715;7111;M;65+;1;;1;1;0
2020-10-25;CZ0201;2025;M;65+;1;;1;1;0
2020-10-25;CZ0311;3102;M;65+;8;7;1;1;1
2020-10-25;CZ0323;3209;M;65+;16;18;4;3;3
2020-10-25;CZ0413;4107;M;65+;8;3;1;0;0
2020-10-25;CZ0413;4107;Z;20-64;41;28;1;1;1
2020-10-25;CZ0513;5105;Z;65+;14;7;1;0;0
2020-10-25;CZ0531;5304;M;65+;2;4;1;1;1
2020-10-25;CZ0633;6309;Z;65+;;4;1;1;1
2020-10-25;CZ0646;6419;Z;65+;2;5;1;1;1
2020-10-25;CZ0724;7211;Z;65+;2;2;1;1;1
2020-10-25;CZ0803;8011;Z;65+;1;1;3;2;1
2020-10-26;CZ0204;2006;Z;65+;1;3;1;1;0
2020-10-26;CZ0322;3205;M;20-64;17;31;1;1;1
2020-10-26;CZ0327;3215;M;65+;1;2;1;1;1
2020-10-26;CZ0423;4205;M;65+;1;6;1;1;1
2020-10-26;CZ0424;4210;M;20-64;3;5;1;1;1
2020-10-26;CZ0523;5206;Z;65+;3;1;1;1;0
2020-10-26;CZ0523;5209;Z;65+;8;11;2;0;0
2020-10-26;CZ0631;6302;M;65+;7;;1;0;0
2020-10-26;CZ0632;6305;M;65+;8;10;1;1;1
2020-10-27;CZ0206;2011;M;65+;;;1;0;0
2020-10-27;CZ0206;2014;M;65+;8;2;1;1;1
2020-10-27;CZ0207;2015;Z;65+;13;6;2;2;0
2020-10-27;CZ0317;3110;M;65+;;2;1;1;1
2020-10-27;CZ0322;3205;Z;65+;6;;1;1;0
2020-10-27;CZ0632;6305;M;65+;5;10;2;2;0
2020-10-27;CZ0633;6303;M;65+;2;2;1;0;0
2020-10-27;CZ0633;6309;M;65+;1;1;1;1;1
2020-10-27;CZ0641;6402;M;65+;15;2;2;2;1
2020-10-27;CZ0643;6408;M;20-64;18;2;1;0;1
2020-10-28;CZ0311;3102;M;65+;31;7;1;1;1
2020-10-28;CZ0323;3209;M;65+;15;7;1;1;1
2020-10-28;CZ0514;5104;Z;65+;;;1;1;1
2020-10-28;CZ0643;6416;M;65+;3;1;1;1;1
2020-10-28;CZ0723;7206;M;65+;;2;1;1;1
2020-10-28;CZ0723;7212;M;65+;4;1;1;1;1
2020-10-29;CZ0201;2001;Z;65+;12;5;2;2;0
2020-10-29;CZ0205;2012;Z;65+;3;2;1;1;1
2020-10-29;CZ0426;4213;Z;20-64;48;29;1;1;1
2020-10-29;CZ0512;5108;Z;65+;5;;1;1;0
2020-10-29;CZ0645;9999;M;65+;;;1;1;1
2020-10-29;CZ0805;8017;M;65+;9;9;1;1;1
2020-10-30;CZ0201;2001;M;65+;9;6;1;1;0
2020-10-30;CZ020B;9999;M;65+;;;1;1;1
2020-10-30;CZ0423;4208;M;65+;3;1;1;1;1
2020-10-30;CZ0423;4211;M;65+;5;3;1;1;0
2020-10-30;CZ0513;5105;M;65+;12;11;2;2;0
2020-10-30;CZ0531;5304;Z;20-64;58;25;1;1;1
2020-10-30;CZ0533;5308;Z;65+;9;2;1;0;0
2020-10-30;CZ0645;6406;M;65+;8;5;2;2;2
2020-10-30;CZ0646;6419;M;65+;7;5;1;1;0
2020-10-30;CZ0721;7203;M;65+;9;7;1;1;1
2020-10-30;CZ0802;8007;M;65+;1;;1;1;1
2020-10-31;CZ0201;2001;M;65+;9;5;2;2;0
2020-10-31;CZ0422;4204;M;65+;3;4;2;2;0
2020-10-31;CZ0424;4207;Z;65+;6;3;1;1;1
2020-10-31;CZ0532;5309;M;65+;19;8;2;2;0
2020-10-31;CZ0721;7202;Z;65+;2;;1;1;1
2020-10-31;CZ0802;8006;Z;65+;4;5;1;1;1
2020-11-01;CZ0204;2006;M;65+;;2;1;0;0
2020-11-01;CZ0207;2015;M;65+;2;4;4;4;0
2020-11-01;CZ0316;3111;M;65+;;2;1;1;0
2020-11-01;CZ0322;3205;M;65+;;4;4;4;1
2020-11-01;CZ0635;6301;Z;65+;3;1;1;1;0
2020-11-01;CZ0642;6403;Z;65+;30;30;2;2;2
2020-11-01;CZ0712;7105;M;65+;1;4;2;2;2
2020-11-01;CZ0715;7113;Z;20-64;13;11;1;1;1
2020-11-02;CZ0100;0;M;65+;55;91;6;6;2
2020-11-02;CZ0316;3111;M;65+;1;3;1;1;0
2020-11-02;CZ0321;3202;M;65+;8;4;1;1;1
2020-11-02;CZ0322;3205;M;65+;5;3;2;2;1
2020-11-02;CZ0424;4207;M;65+;;5;3;3;2
2020-11-02;CZ0533;5307;Z;65+;3;1;1;1;1
2020-11-02;CZ0641;6401;M;65+;3;4;1;1;1
2020-11-02;CZ0647;6412;Z;65+;11;1;1;1;0
2020-11-02;CZ0647;6420;Z;20-64;33;54;1;1;0
2020-11-02;CZ0712;7105;M;65+;1;2;1;0;0
2020-11-02;CZ0724;7213;M;65+;7;15;1;1;0
2020-11-03;CZ0411;4102;Z;65+;4;1;1;0;0
2020-11-03;CZ0411;4105;Z;65+;6;1;1;1;1
2020-11-03;CZ0524;5208;Z;65+;4;1;1;1;1
2020-11-03;CZ0635;6315;M;65+;9;5;2;2;1
2020-11-03;CZ0643;6421;M;65+;3;;1;1;1
2020-11-03;CZ0723;7210;Z;65+;3;1;1;1;1
2020-11-03;CZ0804;8005;M;65+;1;;1;1;0
2020-11-03;CZ0805;8009;Z;65+;3;2;1;1;1
2020-11-03;CZ0806;8019;Z;65+;35;13;1;1;1
2020-11-04;CZ020C;2021;M;65+;11;1;1;1;0
2020-11-04;CZ0311;3113;M;65+;1;;1;1;0
2020-11-04;CZ0313;3104;M;20-64;12;3;1;1;1
2020-11-04;CZ0316;3101;M;65+;;;1;1;1
2020-11-04;CZ0523;5201;Z;65+;1;;1;1;1
2020-11-04;CZ0525;5215;Z;65+;6;;4;3;3
2020-11-04;CZ0647;6420;M;20-64;17;9;2;1;1
2020-11-04;CZ0722;7207;M;65+;6;5;1;1;1
2020-11-05;CZ0311;3102;Z;65+;29;34;1;1;1
2020-11-05;CZ0322;3214;M;65+;1;2;1;1;0
2020-11-05;CZ0325;3208;Z;65+;2;8;1;1;0
2020-11-05;CZ0521;5205;Z;65+;9;13;2;2;2
2020-11-05;CZ0634;6313;Z;65+;8;5;2;2;1
2020-11-05;CZ0644;6404;Z;65+;3;8;1;0;0
2020-11-05;CZ0714;7101;M;65+;6;4;1;1;1
2020-11-05;CZ0721;7202;M;65+;;2;1;1;1
2020-11-05;CZ0802;8006;M;65+;13;5;2;2;0
2020-11-05;CZ0803;8004;M;65+;1;7;1;1;0
2020-04-03;CZ0423;4208;Z;65+;1;;1;1;1
2020-04-04;CZ0100;0;M;65+;2;1;1;0;0
2020-04-07;CZ0100;0;Z;65+;14;1;1;1;1
2020-04-13;CZ020A;2005;M;65+;1;;1;1;0
2020-04-26;CZ0411;4105;M;65+;9;;1;0;0
2020-04-30;CZ0714;7101;M;20-64;;;1;1;1
2020-05-06;CZ0804;8001;Z;65+;;;1;1;0
2020-05-15;CZ0802;8006;M;65+;;;1;1;1
2020-05-21;CZ0422;4203;M;65+;;;1;1;1
2020-06-01;CZ0643;6413;M;65+;;;1;1;1
2020-06-27;CZ0712;7105;M;65+;;;1;0;0
2020-07-06;CZ0100;0;M;65+;;;1;1;0
2020-07-23;CZ0803;8008;Z;65+;3;1;1;1;1
2020-07-28;CZ0632;6305;Z;65+;1;;1;0;0
2020-07-29;CZ0802;8010;Z;20-64;;;1;0;0
2020-07-31;CZ0802;8006;M;65+;;1;1;1;0
2020-08-04;CZ0722;7208;Z;65+;;;1;0;0
2020-09-12;CZ0100;0;M;65+;12;3;1;1;0
2020-09-15;CZ0532;5303;M;65+;1;;1;0;0
2020-09-17;CZ0100;0;M;65+;31;1;3;3;1
2020-09-18;CZ0207;2015;Z;65+;2;;1;1;1
2020-09-19;CZ0534;5313;M;20-64;1;;1;1;1
2020-09-23;CZ0208;2019;Z;65+;1;;1;1;1
2020-09-25;CZ0311;3102;M;65+;1;;1;1;1
2020-09-25;CZ0721;7203;Z;65+;1;;1;1;1
2020-09-26;CZ0317;3112;M;65+;1;1;1;1;0
2020-09-27;CZ0100;0;M;20-64;87;238;1;1;1
2020-09-27;CZ0714;7109;M;65+;;;1;1;1
2020-09-30;CZ020C;2021;M;65+;;;1;1;1
2020-09-30;CZ0647;6420;M;20-64;11;;1;0;0
2020-10-01;CZ0421;4212;M;65+;;;1;0;0
2020-10-01;CZ0421;4215;M;65+;1;1;1;0;0
2020-10-04;CZ0411;4102;M;65+;1;;1;1;0
2020-10-04;CZ0804;8012;Z;65+;1;;1;1;0
2020-10-06;CZ0208;2019;M;65+;1;;1;1;1
2020-10-06;CZ020B;2020;Z;65+;6;;1;1;1
2020-10-06;CZ0645;6410;M;65+;2;;1;1;1
2020-10-09;CZ0100;0;Z;20-64;495;115;1;1;1
2020-10-09;CZ020A;2005;M;65+;5;;1;1;0
2020-10-09;CZ0411;4102;M;65+;2;1;1;1;1
2020-10-09;CZ0422;4203;M;65+;3;;1;1;1
2020-10-09;CZ0805;8009;M;65+;2;1;1;1;0
2020-10-09;CZ0806;8019;M;65+;22;1;3;2;1
2020-10-11;CZ0204;2010;Z;65+;2;;1;1;0
2020-10-11;CZ0313;3105;M;65+;;;1;0;1
2020-10-11;CZ0642;6403;M;65+;7;5;1;0;1
2020-10-11;CZ0644;6404;M;65+;;3;1;1;1
2020-10-11;CZ0645;6406;M;20-64;2;13;1;0;0
2020-10-11;CZ0647;6420;Z;65+;;3;1;1;0
2020-10-11;CZ0722;7208;Z;65+;8;1;2;0;0
2020-10-12;CZ0100;0;M;65+;36;20;3;3;1
2020-10-12;CZ0512;5108;M;65+;;;1;1;1
2020-10-12;CZ0521;5212;Z;65+;;;1;1;0
2020-10-12;CZ0641;6401;M;65+;8;;1;0;0
2020-10-12;CZ0806;8019;Z;65+;4;8;1;0;0
2020-10-12;CZ0806;9999;Z;65+;;;1;1;0
2020-10-13;CZ0201;2001;Z;65+;3;;1;1;0
2020-10-14;CZ0635;6301;Z;65+;;;1;1;1
