"datum";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni";"pocet_vyleceni";"pocet_zemreli";"pocet_umrti_hospitalizace";"pocet_umrti_komplikovany"
"2020-03-22";"CZ0100";"0";"M";"65+";"5";"";"1";"1";"1"
"2020-04-01";"CZ0203";"2009";"M";"20-64";"2";"";"1";"1";"1"
"2020-04-03";"CZ0100";"0";"Z";"65+";"2";"1";"1";"1";"1"
"2020-04-05";"CZ0412";"4103";"M";"65+";"";"";"2";"2";"1"
"2020-04-08";"CZ0100";"0";"M";"65+";"3";"4";"3";"2";"1"
"2020-04-08";"CZ0806";"8019";"Z";"65+";"2";"";"1";"0";"0"
"2020-04-13";"CZ0411";"4102";"M";"65+";"1";"";"1";"1";"1"
"2020-04-25";"CZ0100";"0";"M";"65+";"1";"";"2";"2";"2"
"2020-04-25";"CZ0411";"4102";"Z";"65+";"2";"";"1";"1";"1"
"2020-04-30";"CZ0805";"8017";"M";"20-64";"";"3";"1";"1";"1"
"2020-05-01";"CZ0324";"3201";"Z";"65+";"";"";"1";"1";"1"
"2020-05-03";"CZ0712";"7112";"Z";"65+";"";"2";"1";"0";"0"
"2020-05-14";"CZ0805";"8013";"M";"65+";"";"";"1";"1";"1"
"2020-07-14";"CZ0805";"8017";"M";"65+";"1";"";"1";"0";"0"
"2020-07-22";"CZ0802";"8021";"M";"65+";"";"";"1";"1";"1"
"2020-07-24";"CZ0806";"8019";"M";"65+";"1";"";"1";"0";"0"
"2020-08-01";"CZ0802";"8010";"M";"65+";"2";"";"1";"0";"0"
"2020-08-20";"CZ0322";"3203";"M";"20-64";"";"1";"1";"1";"1"
"2020-08-24";"CZ0426";"4213";"Z";"65+";"";"";"1";"1";"0"
"2020-08-30";"CZ0100";"0";"Z";"65+";"3";"";"1";"1";"1"
"2020-09-03";"CZ020B";"2020";"M";"65+";"";"";"1";"1";"1"
"2020-09-03";"CZ0514";"5107";"Z";"65+";"";"";"1";"1";"0"
"2020-09-05";"CZ0205";"2012";"M";"65+";"";"";"1";"1";"1"
"2020-09-11";"CZ0531";"5304";"Z";"65+";"4";"";"1";"1";"0"
"2020-09-12";"CZ0531";"5304";"M";"65+";"";"1";"1";"1";"0"
"2020-09-14";"CZ0525";"5214";"M";"65+";"";"1";"1";"1";"1"
"2020-09-14";"CZ0532";"5303";"Z";"65+";"";"";"1";"0";"0"
"2020-09-19";"CZ0532";"5303";"M";"65+";"";"4";"1";"0";"0"
"2020-09-21";"CZ0100";"0";"M";"65+";"12";"7";"4";"4";"1"
"2020-09-22";"CZ0635";"6315";"M";"65+";"";"";"1";"1";"1"
"2020-09-23";"CZ0204";"2006";"M";"65+";"";"";"1";"1";"0"
"2020-09-24";"CZ0531";"5304";"Z";"65+";"3";"";"1";"1";"0"
"2020-09-26";"CZ0411";"4102";"M";"65+";"3";"";"1";"1";"1"
"2020-09-26";"CZ0806";"8019";"M";"65+";"1";"3";"1";"1";"1"
"2020-09-29";"CZ0311";"3102";"M";"65+";"1";"3";"1";"0";"0"
"2020-09-29";"CZ0422";"4204";"M";"20-64";"";"";"1";"1";"1"
"2020-09-30";"CZ0411";"4105";"M";"65+";"";"1";"1";"0";"0"
"2020-09-30";"CZ0412";"4103";"Z";"65+";"1";"";"1";"0";"0"
"2020-10-01";"CZ0207";"2015";"Z";"65+";"5";"";"2";"2";"0"
